Team,Conformed
. CARLETON UNIVERSITY,48
. QUEEN‰ÛªS UNIVERSITY,208
290 BLUEBONNETS,0
ALFRED UNIVERSITY SAXONS,2
ALGONQUIN,3
ANARCHS QUIDDITCH,4
ANTEATER QUIDDITCH,299
ANTHENA LESPARRE,5
APPALACHIAN APPARATORS QUIDDITCH,6
APPALACHIAN QUIDDITCH,6
APPALACHIAN STATE QUIDDITCH,6
ARIZONA JACKALOPES,7
ARIZONA Q.C.,1
ARIZONA QUIDDITCH CLUB,1
ARIZONA SCORPIONS,8
ARIZONA STATE UNIVERSITY,9
ARIZONA STATE UNIVERSITY - SUN DEVIL QUIDDITCH,263
ARKANSAS STATE REDWOLF QUIDDITCH,11
ARKANSAS TECH  QUIDDITCH CLUB,12
ARKANSAS UNIVERSITY,10
ATLANTIC DRAGONS,14
AUSTIN,15
AUSTIN COMMUNITY,15
AUSTIN QUIDDITCH,15
AUSTRALIA NATIONAL UNIVERSITY,16
AUSTRALIAN NATIONAL UNIVERSITY,16
BAD AND ROUGIE QUIDDITCH CLUB,18
BADASSILISKS,175
BALL STATE CARDINALS,19
BALL STATE UNIVERSITY,19
BANGOR,20
BARCELONA EAGLES QUIDDITCH TEAM,21
BAY AREA BREAKERS,22
BAYLOR UNIVERSITY,23
BELGIAN BEERTERS,24
BELGIAN QWAFFLES,25
BIG SKY FLYERS QUIDDITCH,26
BLACK SNITHES - LILLE MUGGLE QUIDDITCH,131
BLUE MOUNTAIN Q.C.,27
BLUE MOUNTAIN QUIDDITCH CLUB,27
BOBCAT QUIDDITCH,28
BOGGARTS QUIDDITCH CLUB AT COLORADO STATE UNIVERSITY,63
BOISE STATE ABRAXANS,29
BOISE STATE THESTRALS,30
BOOM TRAIN,31
BOSNYAN BEARSHARKS,32
BOSTON RIOT,33
BOSTON UNIVERSITY QUIDDITCH,34
BOWLING GREEN,17
BOWLING GREEN STATE UNIVERSITY,17
BRANDEIS QUIDDITCH,35
BREVARD COLLEGE,36
BREW CITY WARRIORS,37
BRITISH COLUMBIA QUIDDITCH CLUB,38
CAL QUIDDITCH,42
CALIFORNIA CANNONS,43
CALIFORNIA DOBBYS,44
CAMPS,41
CANADA‰ÛªS FINEST,45
CANADAS FINEST QUIDDITCH CLUB,45
CAPITAL MADNESS Q.C.,46
CARLETON CONSPIRACY QUIDDITCH,47
CARLETON UNIVERSITY,48
CARLETON UNIVERSITY QUIDDITCH,48
CARNAGE QUIDDITCH,49
CARNEGIE MELLON QUIDDITCH CLUB,50
CARNEGIE MELLON UNIVERSITY,50
CAROLINA HEAT QUIDDITCH CLUB,51
