ID,Name,College
0,290 Bluebonnets,0
1,AZQC,0
2,Alfred,1
3,Algonquin College,1
4,Anarchs,0
5,Anthena Lesparre,0
6,App State,1
7,Arizona,1
8,Arizona Scorpions,0
9,Arizona State,1
10,Arkansas,1
11,Arkansas State,1
12,Arkansas Tech,1
13,Atlanta Terminus,0
14,Atlantic Dragons,0
15,Austin Quidditch,1
16,Australian National,1
17,BGSU,1
18,Bad and Rougie QC,0
19,Ball State,1
20,Bangor U,1
21,Barcelona Eagles,0
22,Bay Area Breakers,0
23,Baylor,1
24,Belgian Beerters,0
25,Belgian Qwaffles,0
26,Big Sky Flyers,0
27,Blue Mountain QC,0
28,Bobcat Quidditch,1
29,Boise State,1
30,Boise State Threstrals,1
31,Boom Train,0
32,Bosnyan Bearsharks,0
33,Boston Riot,1
34,Boston U,1
35,Brandeis,1
36,Brevard College,1
37,Brew City Warriors,0
38,British Columbia,1
39,C. Florida,1
40,C. Michigan,1
41,CAMPS,0
42,Cal,1
43,California Cannons,0
44,California Dobbys,0
45,Canadas Finest,0
46,Capital Madness QC,0
47,Carleton Conspiracy,1
48,Carleton U,1
49,Carnage,0
50,Carnegie Mellon,1
51,Carolina Heat,0
52,Cascadia,0
53,Charles School,1
54,Chestnut Hill,1
55,Chicago United,0
56,Chittenden County Chimeras,0
57,Christopher Newport,1
58,Claremont College,1
59,Clark,1
60,Clone Star QC,0
61,College of Charleston,1
62,Colorado,1
63,Colorado State,1
64,Columbia College,1
65,Cornell,1
66,Creighton,1
67,Crimson Elite,0
68,Crimson Fliers,0
69,Crimson Warhawks,1
70,DCQC,0
71,Dayton,1
72,Death Row,1
73,Denison U,1
74,Denver Dementors,0
75,Drexel,1
76,Duke,1
77,E. Florida State,1
78,E. Michigan,1
79,Edinboro U,1
80,Emerald City Admirals,0
81,Emerson,1
82,Falcon Warriors,1
83,Fighting Farmers,0
84,Fleming College,1
85,Florida,1
86,Florida Atlantic,1
87,Florida Gulf Coast,1
88,Florida International,1
89,Florida State,1
90,Floridas Finest,0
91,Flying Panthers QC,0
92,Franklin and Marshall College,1
93,Gainesville Siege,0
94,George Mason,1
95,Golden Snitches,0
96,Grand Valley State,1
97,Green Mountain,1
98,Grove City Legion of Boom,0
99,Guelph,1
100,Gulf Coast Gumbeaux,0
101,Harvard,1
102,Hendrix College,1
103,Hofstra,1
104,Hollywood Harpies,0
105,Hoosier Daddies,0
106,Horn Tailed Horcruxes,0
107,Houston,1
108,Houston Cosmos,0
109,IUSB,1
110,Idaho,1
111,Illinois,1
112,Illinois State,1
113,India Point Ashwinders,0
114,Indiana,1
115,Iowa,1
116,Iowa State,1
117,Ithaca,1
118,Ives Pond,0
119,James Cook,1
120,James Madison,1
121,Johns Hopkins,1
122,Kansas,1
123,Keele U,1
124,Krakens,0
125,Kutztown U,1
126,Lafayette,0
127,Lake Effect Maelstrom,0
128,Lake Effect Tempest,0
129,Lake Erie Elite,0
130,Leeds U,1
131,Lille Black Snithes,0
132,Lock Haven,1
133,Lone Star QC,0
134,Long Beach Funky Quaffles,0
135,Los Angeles Gambits,0
136,Lost Boys,0
137,Louisiana State,1
138,Loyola,1
139,Loyola (CHI),1
140,Loyola (NO),1
141,MERCS,0
142,Macaulay,1
143,Mansfield,1
144,Marquette,1
